,interaction,robot,scenes
167,G025T001A007R010,g1,office.glb
168,G025T001A007R010,atlas,corridoio_estense.glb
169,G025T001A007R010,icub,borgo.glb
170,G015T001A007R014,nao,office.glb
171,G015T001A007R014,pepper,borgo.glb
172,G015T001A007R014,g1,estensi_room.glb
173,G015T001A007R014,atlas,office.glb
174,G015T001A007R014,icub,office.glb
175,G050T001A007R013,nao,office.glb
176,G050T001A007R013,pepper,estensi_room.glb
177,G050T001A007R013,g1,office.glb
178,G050T001A007R013,atlas,city.glb
179,G050T001A007R013,icub,office.glb
180,G056T001A007R012,nao,estensi_room.glb
181,G056T001A007R012,pepper,baroque_room.glb
182,G056T001A007R012,g1,corridoio_estense.glb
183,G056T001A007R012,atlas,office.glb
184,G056T001A007R012,icub,estensi_room.glb
185,G021T001A007R011,nao,city.glb
186,G021T001A007R011,pepper,borgo.glb
187,G021T001A007R011,g1,hospital.glb
188,G021T001A007R011,atlas,baroque_room.glb
189,G021T001A007R011,icub,borgo.glb
190,G020T001A007R013,nao,hospital.glb
191,G020T001A007R013,pepper,borgo.glb
192,G020T001A007R013,g1,office.glb
193,G020T001A007R013,atlas,baroque_room.glb
194,G020T001A007R013,icub,office.glb
195,G044T001A007R009,nao,city.glb
196,G044T001A007R009,pepper,baroque_room.glb
197,G044T001A007R009,g1,borgo.glb
198,G044T001A007R009,atlas,estensi_room.glb
199,G044T001A007R009,icub,borgo.glb
200,G025T001A008R018,nao,corridoio_estense.glb
201,G025T001A008R018,pepper,city.glb
202,G025T001A008R018,g1,baroque_room.glb
203,G025T001A008R018,atlas,city.glb
204,G025T001A008R018,icub,hospital.glb
205,G034T002A008R022,nao,office.glb
206,G034T002A008R022,pepper,hospital.glb
207,G034T002A008R022,g1,corridoio_estense.glb
208,G034T002A008R022,atlas,hospital.glb
209,G034T002A008R022,icub,hospital.glb
210,G026T001A008R017,nao,hospital.glb
211,G026T001A008R017,pepper,corridoio_estense.glb
212,G026T001A008R017,g1,borgo.glb
213,G026T001A008R017,atlas,office.glb
214,G026T001A008R017,icub,borgo.glb
215,G043T001A008R019,nao,office.glb
216,G043T001A008R019,pepper,baroque_room.glb
217,G043T001A008R019,g1,office.glb
218,G043T001A008R019,atlas,borgo.glb
219,G043T001A008R019,icub,baroque_room.glb
220,G053T001A008R021,nao,corridoio_estense.glb
221,G053T001A008R021,pepper,hospital.glb
222,G053T001A008R021,g1,office.glb
223,G053T001A008R021,atlas,corridoio_estense.glb
224,G053T001A008R021,icub,borgo.glb
225,G048T001A008R020,nao,borgo.glb
226,G048T001A008R020,pepper,baroque_room.glb
227,G048T001A008R020,g1,corridoio_estense.glb
228,G048T001A008R020,atlas,hospital.glb
229,G048T001A008R020,icub,borgo.glb
230,G031T001A008R015,nao,office.glb
231,G031T001A008R015,pepper,hospital.glb
232,G031T001A008R015,g1,corridoio_estense.glb
233,G031T001A008R015,atlas,baroque_room.glb
234,G031T001A008R015,icub,office.glb
235,G024T001A008R018,nao,baroque_room.glb
236,G024T001A008R018,pepper,estensi_room.glb
237,G024T001A008R018,g1,baroque_room.glb
238,G024T001A008R018,atlas,hospital.glb
239,G024T001A008R018,icub,hospital.glb
240,G010T001A008R010,nao,estensi_room.glb
241,G010T001A008R010,pepper,borgo.glb
242,G010T001A008R010,g1,baroque_room.glb
243,G010T001A008R010,atlas,hospital.glb
244,G010T001A008R010,icub,estensi_room.glb
245,G032T001A008R015,nao,corridoio_estense.glb
246,G032T001A008R015,pepper,hospital.glb
247,G032T001A008R015,g1,estensi_room.glb
248,G032T001A008R015,atlas,baroque_room.glb
249,G032T001A008R015,icub,estensi_room.glb
250,G023T002A010R001,nao,office.glb
251,G023T002A010R001,pepper,borgo.glb
252,G023T002A010R001,g1,estensi_room.glb
253,G023T002A010R001,atlas,corridoio_estense.glb
254,G023T002A010R001,icub,city.glb
255,G024T002A010R003,nao,hospital.glb
256,G024T002A010R003,pepper,borgo.glb
257,G024T002A010R003,g1,corridoio_estense.glb
258,G024T002A010R003,atlas,borgo.glb
259,G024T002A010R003,icub,estensi_room.glb
260,G041T005A010R004,nao,hospital.glb
261,G041T005A010R004,pepper,office.glb
262,G041T005A010R004,g1,corridoio_estense.glb
263,G041T005A010R004,atlas,borgo.glb
264,G041T005A010R004,icub,baroque_room.glb
265,G040T002A010R006,nao,corridoio_estense.glb
266,G040T002A010R006,pepper,baroque_room.glb
267,G040T002A010R006,g1,corridoio_estense.glb
268,G040T002A010R006,atlas,estensi_room.glb
269,G040T002A010R006,icub,office.glb
270,G008T002A010R000,nao,borgo.glb
271,G008T002A010R000,pepper,hospital.glb
272,G008T002A010R000,g1,city.glb
273,G008T002A010R000,atlas,baroque_room.glb
274,G008T002A010R000,icub,borgo.glb
275,G046T002A010R003,nao,hospital.glb
276,G046T002A010R003,pepper,office.glb
277,G046T002A010R003,g1,city.glb
278,G046T002A010R003,atlas,city.glb
279,G046T002A010R003,icub,estensi_room.glb
280,G034T003A010R001,nao,hospital.glb
281,G034T003A010R001,pepper,corridoio_estense.glb
282,G034T003A010R001,g1,office.glb
283,G034T003A010R001,atlas,hospital.glb
284,G034T003A010R001,icub,estensi_room.glb
285,G047T002A010R005,nao,borgo.glb
286,G047T002A010R005,pepper,baroque_room.glb
287,G047T002A010R005,g1,corridoio_estense.glb
288,G047T002A010R005,atlas,city.glb
289,G047T002A010R005,icub,city.glb
290,G021T002A010R001,nao,baroque_room.glb
291,G021T002A010R001,pepper,estensi_room.glb
292,G021T002A010R001,g1,hospital.glb
293,G021T002A010R001,atlas,estensi_room.glb
294,G021T002A010R001,icub,borgo.glb
295,G046T002A010R005,nao,corridoio_estense.glb
296,G046T002A010R005,pepper,borgo.glb
297,G046T002A010R005,g1,borgo.glb
298,G046T002A010R005,atlas,city.glb
299,G046T002A010R005,icub,borgo.glb
300,G053T002A011R008,nao,estensi_room.glb
301,G053T002A011R008,pepper,office.glb
302,G053T002A011R008,g1,baroque_room.glb
303,G053T002A011R008,atlas,corridoio_estense.glb
304,G053T002A011R008,icub,baroque_room.glb
305,G039T003A011R011,nao,baroque_room.glb
306,G039T003A011R011,pepper,office.glb
307,G039T003A011R011,g1,borgo.glb
308,G039T003A011R011,atlas,office.glb
309,G039T003A011R011,icub,borgo.glb
310,G052T002A011R005,nao,borgo.glb
311,G052T002A011R005,pepper,city.glb
312,G052T002A011R005,g1,hospital.glb
313,G052T002A011R005,atlas,corridoio_estense.glb
314,G052T002A011R005,icub,baroque_room.glb
315,G036T002A011R010,nao,baroque_room.glb
316,G036T002A011R010,pepper,estensi_room.glb
317,G036T002A011R010,g1,baroque_room.glb
318,G036T002A011R010,atlas,office.glb
319,G036T002A011R010,icub,borgo.glb
320,G043T002A011R008,nao,hospital.glb
321,G043T002A011R008,pepper,hospital.glb
322,G043T002A011R008,g1,corridoio_estense.glb
323,G043T002A011R008,atlas,baroque_room.glb
324,G043T002A011R008,icub,hospital.glb
325,G035T002A011R009,nao,baroque_room.glb
326,G035T002A011R009,pepper,borgo.glb
327,G035T002A011R009,g1,hospital.glb
328,G035T002A011R009,atlas,city.glb
329,G035T002A011R009,icub,city.glb
330,G017T002A011R008,nao,hospital.glb
331,G017T002A011R008,pepper,baroque_room.glb
332,G017T002A011R008,g1,city.glb
333,G017T002A011R008,atlas,corridoio_estense.glb
334,G017T002A011R008,icub,estensi_room.glb
335,G015T002A011R010,nao,hospital.glb
336,G015T002A011R010,pepper,borgo.glb
337,G015T002A011R010,g1,corridoio_estense.glb
338,G015T002A011R010,atlas,hospital.glb
339,G015T002A011R010,icub,office.glb
340,G001T002A011R005,nao,corridoio_estense.glb
341,G001T002A011R005,pepper,corridoio_estense.glb
342,G001T002A011R005,g1,city.glb
343,G001T002A011R005,atlas,city.glb
344,G001T002A011R005,icub,corridoio_estense.glb
345,G015T002A011R009,nao,city.glb
346,G015T002A011R009,pepper,corridoio_estense.glb
347,G015T002A011R009,g1,borgo.glb
348,G015T002A011R009,atlas,city.glb
349,G015T002A011R009,icub,city.glb
350,G020T003A015R004,nao,office.glb
351,G020T003A015R004,pepper,baroque_room.glb
352,G020T003A015R004,g1,office.glb
353,G020T003A015R004,atlas,hospital.glb
354,G020T003A015R004,icub,borgo.glb
355,G034T004A015R005,nao,estensi_room.glb
356,G034T004A015R005,pepper,hospital.glb
357,G034T004A015R005,g1,borgo.glb
358,G034T004A015R005,atlas,corridoio_estense.glb
359,G034T004A015R005,icub,city.glb
360,G017T003A015R002,nao,borgo.glb
361,G017T003A015R002,pepper,corridoio_estense.glb
362,G017T003A015R002,g1,borgo.glb
363,G017T003A015R002,atlas,city.glb
364,G017T003A015R002,icub,borgo.glb
365,G001T003A015R002,nao,office.glb
366,G001T003A015R002,pepper,hospital.glb
367,G001T003A015R002,g1,baroque_room.glb
368,G001T003A015R002,atlas,estensi_room.glb
369,G001T003A015R002,icub,estensi_room.glb
370,G010T003A015R003,nao,city.glb
371,G010T003A015R003,pepper,city.glb
372,G010T003A015R003,g1,corridoio_estense.glb
373,G010T003A015R003,atlas,office.glb
374,G010T003A015R003,icub,baroque_room.glb
375,G028T003A015R001,nao,office.glb
376,G028T003A015R001,pepper,office.glb
377,G028T003A015R001,g1,city.glb
378,G028T003A015R001,atlas,baroque_room.glb
379,G028T003A015R001,icub,office.glb
380,G034T004A015R002,nao,baroque_room.glb
381,G034T004A015R002,pepper,estensi_room.glb
382,G034T004A015R002,g1,estensi_room.glb
383,G034T004A015R002,atlas,estensi_room.glb
384,G034T004A015R002,icub,estensi_room.glb
385,G042T003A015R005,nao,baroque_room.glb
386,G042T003A015R005,pepper,baroque_room.glb
387,G042T003A015R005,g1,corridoio_estense.glb
388,G042T003A015R005,atlas,baroque_room.glb
389,G042T003A015R005,icub,hospital.glb
390,G044T003A015R006,nao,baroque_room.glb
391,G044T003A015R006,pepper,borgo.glb
392,G044T003A015R006,g1,city.glb
393,G044T003A015R006,atlas,estensi_room.glb
394,G044T003A015R006,icub,hospital.glb
395,G026T003A015R002,nao,office.glb
396,G026T003A015R002,pepper,city.glb
397,G026T003A015R002,g1,office.glb
398,G026T003A015R002,atlas,estensi_room.glb
399,G026T003A015R002,icub,corridoio_estense.glb
400,G026T004A022R010,nao,borgo.glb
401,G026T004A022R010,pepper,estensi_room.glb
402,G026T004A022R010,g1,corridoio_estense.glb
403,G026T004A022R010,atlas,baroque_room.glb
404,G026T004A022R010,icub,corridoio_estense.glb
405,G028T004A022R013,nao,office.glb
406,G028T004A022R013,pepper,city.glb
407,G028T004A022R013,g1,estensi_room.glb
408,G028T004A022R013,atlas,estensi_room.glb
409,G028T004A022R013,icub,borgo.glb
410,G030T007A022R009,nao,hospital.glb
411,G030T007A022R009,pepper,office.glb
412,G030T007A022R009,g1,hospital.glb
413,G030T007A022R009,atlas,baroque_room.glb
414,G030T007A022R009,icub,office.glb
415,G036T004A022R009,nao,borgo.glb
416,G036T004A022R009,pepper,borgo.glb
417,G036T004A022R009,g1,baroque_room.glb
418,G036T004A022R009,atlas,estensi_room.glb
419,G036T004A022R009,icub,corridoio_estense.glb
420,G049T005A022R011,nao,office.glb
421,G049T005A022R011,pepper,office.glb
422,G049T005A022R011,g1,baroque_room.glb
423,G049T005A022R011,atlas,estensi_room.glb
424,G049T005A022R011,icub,office.glb
425,G050T004A022R009,nao,office.glb
426,G050T004A022R009,pepper,hospital.glb
427,G050T004A022R009,g1,office.glb
428,G050T004A022R009,atlas,borgo.glb
429,G050T004A022R009,icub,baroque_room.glb
430,G048T004A022R011,nao,corridoio_estense.glb
431,G048T004A022R011,pepper,baroque_room.glb
432,G048T004A022R011,g1,borgo.glb
433,G048T004A022R011,atlas,city.glb
434,G048T004A022R011,icub,estensi_room.glb
435,G016T004A022R012,nao,baroque_room.glb
436,G016T004A022R012,pepper,city.glb
437,G016T004A022R012,g1,office.glb
438,G016T004A022R012,atlas,city.glb
439,G016T004A022R012,icub,corridoio_estense.glb
440,G018T005A022R007,nao,office.glb
441,G018T005A022R007,pepper,city.glb
442,G018T005A022R007,g1,city.glb
443,G018T005A022R007,atlas,corridoio_estense.glb
444,G018T005A022R007,icub,borgo.glb
445,G055T004A022R010,nao,estensi_room.glb
446,G055T004A022R010,pepper,hospital.glb
447,G055T004A022R010,g1,hospital.glb
448,G055T004A022R010,atlas,corridoio_estense.glb
449,G055T004A022R010,icub,hospital.glb
450,G002T006A030R000,nao,corridoio_estense.glb
451,G002T006A030R000,pepper,corridoio_estense.glb
452,G002T006A030R000,g1,baroque_room.glb
453,G002T006A030R000,atlas,estensi_room.glb
454,G002T006A030R000,icub,corridoio_estense.glb
455,G006T007A030R001,nao,corridoio_estense.glb
456,G006T007A030R001,pepper,borgo.glb
457,G006T007A030R001,g1,office.glb
458,G006T007A030R001,atlas,borgo.glb
459,G006T007A030R001,icub,office.glb
460,G001T006A030R001,nao,office.glb
461,G001T006A030R001,pepper,office.glb
462,G001T006A030R001,g1,city.glb
463,G001T006A030R001,atlas,estensi_room.glb
464,G001T006A030R001,icub,corridoio_estense.glb
465,G003T006A030R004,nao,baroque_room.glb
466,G003T006A030R004,pepper,office.glb
467,G003T006A030R004,g1,estensi_room.glb
468,G003T006A030R004,atlas,city.glb
469,G003T006A030R004,icub,hospital.glb
470,G009T006A030R000,nao,borgo.glb
471,G009T006A030R000,pepper,city.glb
472,G009T006A030R000,g1,baroque_room.glb
473,G009T006A030R000,atlas,city.glb
474,G009T006A030R000,icub,estensi_room.glb
475,G004T012A030R014,nao,estensi_room.glb
476,G004T012A030R014,pepper,baroque_room.glb
477,G004T012A030R014,g1,office.glb
478,G004T012A030R014,atlas,office.glb
479,G004T012A030R014,icub,borgo.glb
480,G037T006A030R000,nao,borgo.glb
481,G037T006A030R000,pepper,baroque_room.glb
482,G037T006A030R000,g1,estensi_room.glb
483,G037T006A030R000,atlas,hospital.glb
484,G037T006A030R000,icub,corridoio_estense.glb
485,G047T006A030R003,nao,estensi_room.glb
486,G047T006A030R003,pepper,city.glb
487,G047T006A030R003,g1,hospital.glb
488,G047T006A030R003,atlas,hospital.glb
489,G047T006A030R003,icub,office.glb
490,G050T006A030R007,nao,estensi_room.glb
491,G050T006A030R007,pepper,corridoio_estense.glb
492,G050T006A030R007,g1,estensi_room.glb
493,G050T006A030R007,atlas,estensi_room.glb
494,G050T006A030R007,icub,hospital.glb
495,G041T009A030R013,nao,office.glb
496,G041T009A030R013,pepper,borgo.glb
497,G041T009A030R013,g1,hospital.glb
498,G041T009A030R013,atlas,city.glb
499,G041T009A030R013,icub,estensi_room.glb
500,G046T006A032R014,nao,estensi_room.glb
501,G046T006A032R014,pepper,estensi_room.glb
502,G046T006A032R014,g1,city.glb
503,G046T006A032R014,atlas,borgo.glb
504,G046T006A032R014,icub,city.glb
505,G057T006A032R020,nao,office.glb
506,G057T006A032R020,pepper,office.glb
507,G057T006A032R020,g1,office.glb
508,G057T006A032R020,atlas,city.glb
509,G057T006A032R020,icub,baroque_room.glb
510,G052T006A032R014,nao,city.glb
511,G052T006A032R014,pepper,corridoio_estense.glb
512,G052T006A032R014,g1,baroque_room.glb
513,G052T006A032R014,atlas,borgo.glb
514,G052T006A032R014,icub,office.glb
515,G013T007A032R015,nao,city.glb
516,G013T007A032R015,pepper,borgo.glb
517,G013T007A032R015,g1,hospital.glb
518,G013T007A032R015,atlas,hospital.glb
519,G013T007A032R015,icub,hospital.glb
520,G011T006A032R005,nao,estensi_room.glb
521,G011T006A032R005,pepper,hospital.glb
522,G011T006A032R005,g1,office.glb
523,G011T006A032R005,atlas,estensi_room.glb
524,G011T006A032R005,icub,corridoio_estense.glb
525,G035T006A032R010,nao,borgo.glb
526,G035T006A032R010,pepper,city.glb
527,G035T006A032R010,g1,corridoio_estense.glb
528,G035T006A032R010,atlas,baroque_room.glb
529,G035T006A032R010,icub,city.glb
530,G006T007A032R005,nao,estensi_room.glb
531,G006T007A032R005,pepper,hospital.glb
532,G006T007A032R005,g1,corridoio_estense.glb
533,G006T007A032R005,atlas,hospital.glb
534,G006T007A032R005,icub,office.glb
535,G051T006A032R010,nao,corridoio_estense.glb
536,G051T006A032R010,pepper,city.glb
537,G051T006A032R010,g1,baroque_room.glb
538,G051T006A032R010,atlas,baroque_room.glb
539,G051T006A032R010,icub,hospital.glb
540,G054T007A032R011,nao,baroque_room.glb
541,G054T007A032R011,pepper,office.glb
542,G054T007A032R011,g1,city.glb
543,G054T007A032R011,atlas,hospital.glb
544,G054T007A032R011,icub,borgo.glb
545,G019T006A032R011,nao,office.glb
546,G019T006A032R011,pepper,hospital.glb
547,G019T006A032R011,g1,borgo.glb
548,G019T006A032R011,atlas,borgo.glb
549,G019T006A032R011,icub,city.glb
550,G054T000A002R018,nao,office.glb
551,G054T000A002R018,pepper,borgo.glb
552,G054T000A002R018,g1,baroque_room.glb
553,G054T000A002R018,atlas,baroque_room.glb
554,G054T000A002R018,icub,borgo.glb
555,G029T000A002R015,nao,city.glb
556,G029T000A002R015,pepper,estensi_room.glb
557,G029T000A002R015,g1,baroque_room.glb
558,G029T000A002R015,atlas,estensi_room.glb
559,G029T000A002R015,icub,city.glb
560,G017T000A002R011,nao,estensi_room.glb
561,G017T000A002R011,pepper,estensi_room.glb
562,G017T000A002R011,g1,city.glb
563,G017T000A002R011,atlas,hospital.glb
564,G017T000A002R011,icub,city.glb
565,G052T000A002R016,nao,baroque_room.glb
566,G052T000A002R016,pepper,estensi_room.glb
567,G052T000A002R016,g1,baroque_room.glb
568,G052T000A002R016,atlas,estensi_room.glb
569,G052T000A002R016,icub,estensi_room.glb
570,G052T000A002R018,nao,baroque_room.glb
571,G052T000A002R018,pepper,baroque_room.glb
572,G052T000A002R018,g1,baroque_room.glb
573,G052T000A002R018,atlas,borgo.glb
574,G052T000A002R018,icub,office.glb
575,G033T000A002R010,nao,city.glb
576,G033T000A002R010,pepper,borgo.glb
577,G033T000A002R010,g1,borgo.glb
578,G033T000A002R010,atlas,borgo.glb
579,G033T000A002R010,icub,hospital.glb
580,G024T000A002R011,nao,corridoio_estense.glb
581,G024T000A002R011,pepper,office.glb
582,G024T000A002R011,g1,city.glb
583,G024T000A002R011,atlas,office.glb
584,G024T000A002R011,icub,hospital.glb
585,G059T000A002R008,nao,baroque_room.glb
586,G059T000A002R008,pepper,baroque_room.glb
587,G059T000A002R008,g1,office.glb
588,G059T000A002R008,atlas,hospital.glb
589,G059T000A002R008,icub,borgo.glb
590,G055T000A002R016,nao,corridoio_estense.glb
591,G055T000A002R016,pepper,corridoio_estense.glb
592,G055T000A002R016,g1,borgo.glb
593,G055T000A002R016,atlas,estensi_room.glb
594,G055T000A002R016,icub,borgo.glb
595,G048T000A002R011,nao,corridoio_estense.glb
596,G048T000A002R011,pepper,estensi_room.glb
597,G048T000A002R011,g1,office.glb
598,G048T000A002R011,atlas,estensi_room.glb
599,G048T000A002R011,icub,hospital.glb
600,G020T002A012R014,nao,hospital.glb
601,G020T002A012R014,pepper,hospital.glb
602,G020T002A012R014,g1,hospital.glb
603,G020T002A012R014,atlas,office.glb
604,G020T002A012R014,icub,office.glb
605,G001T002A012R010,nao,baroque_room.glb
606,G001T002A012R010,pepper,estensi_room.glb
607,G001T002A012R010,g1,corridoio_estense.glb
608,G001T002A012R010,atlas,corridoio_estense.glb
609,G001T002A012R010,icub,hospital.glb
610,G043T002A012R012,nao,estensi_room.glb
611,G043T002A012R012,pepper,estensi_room.glb
612,G043T002A012R012,g1,corridoio_estense.glb
613,G043T002A012R012,atlas,corridoio_estense.glb
614,G043T002A012R012,icub,city.glb
615,G011T002A012R005,nao,corridoio_estense.glb
616,G011T002A012R005,pepper,office.glb
617,G011T002A012R005,g1,hospital.glb
618,G011T002A012R005,atlas,corridoio_estense.glb
619,G011T002A012R005,icub,office.glb
620,G046T002A012R013,nao,estensi_room.glb
621,G046T002A012R013,pepper,estensi_room.glb
622,G046T002A012R013,g1,estensi_room.glb
623,G046T002A012R013,atlas,corridoio_estense.glb
624,G046T002A012R013,icub,hospital.glb
625,G038T002A012R012,nao,office.glb
626,G038T002A012R012,pepper,corridoio_estense.glb
627,G038T002A012R012,g1,borgo.glb
628,G038T002A012R012,atlas,baroque_room.glb
629,G038T002A012R012,icub,city.glb
630,G041T005A012R010,nao,office.glb
631,G041T005A012R010,pepper,corridoio_estense.glb
632,G041T005A012R010,g1,city.glb
633,G041T005A012R010,atlas,estensi_room.glb
634,G041T005A012R010,icub,borgo.glb
635,G010T002A012R006,nao,city.glb
636,G010T002A012R006,pepper,estensi_room.glb
